window,phase,oracle_utility,oracle_cumulative,ucp_utility,ucp_cumulative,ucp_allocation,ucp_gg1_utility,ucp_gg1_cumulative,ucp_gg1_allocation,ucp_gg1_feedback_utility,ucp_gg1_feedback_cumulative,ucp_gg1_feedback_allocation
0,steady,7.761775194767912,7.761775194767912,5.063457164440047,5.063457164440047,1;1;1;1,5.063457164440047,5.063457164440047,1;1;1;1,5.063457164440047,5.063457164440047,1;1;1;1
1,steady,8.808591000724308,16.57036619549222,8.108947966452567,13.172405130892614,2;0;2;0,8.108947966452567,13.172405130892614,2;0;2;0,8.108947966452567,13.172405130892614,2;0;2;0
2,steady,8.583591951277073,25.15395814676929,8.193927101669258,21.366332232561874,3;1;0;0,8.157516027153829,21.329921158046442,4;0;0;0,8.157516027153829,21.329921158046442,4;0;0;0
3,steady,9.164077790466543,34.318035937235834,9.14088487984953,30.507217112411404,2;2;0;0,9.14088487984953,30.470806037895972,2;2;0;0,9.14088487984953,30.470806037895972,2;2;0;0
4,steady,7.309368217355411,41.62740415459125,7.010235798159771,37.51745291057117,2;2;0;0,6.356278028888949,36.82708406678492,4;0;0;0,6.356278028888949,36.82708406678492,4;0;0;0
5,steady,7.899720647478739,49.527124802069984,7.48667177314081,45.004124683711986,2;0;2;0,7.48667177314081,44.31375583992573,2;0;2;0,7.48667177314081,44.31375583992573,2;0;2;0
6,steady,8.097735148872852,57.624859950942835,7.878344418458809,52.882469102170795,3;0;1;0,8.097735148872852,52.41149098879858,4;0;0;0,8.097735148872852,52.41149098879858,4;0;0;0
7,steady,6.912709410944109,64.53756936188694,6.912709410944109,59.795178513114905,2;2;0;0,6.226837635433328,58.63832862423191,4;0;0;0,6.226837635433328,58.63832862423191,4;0;0;0
8,steady,8.240041001655316,72.77761036354225,7.007346213420175,66.80252472653508,2;2;0;0,7.007346213420175,65.64567483765208,2;2;0;0,7.007346213420175,65.64567483765208,2;2;0;0
9,steady,7.811321162582025,80.58893152612427,7.811321162582025,74.6138458891171,2;0;2;0,7.811321162582025,73.4569960002341,2;0;2;0,7.811321162582025,73.4569960002341,2;0;2;0
10,burst,10.577084312548784,91.16601583867305,8.886175005511166,83.50002089462826,2;0;2;0,8.886175005511166,82.34317100574526,2;0;2;0,8.886175005511166,82.34317100574526,2;0;2;0
11,burst,9.954148777338029,101.12016461601108,8.606512024950646,92.10653291957891,2;2;0;0,8.77946508480047,91.12263609054574,4;0;0;0,8.77946508480047,91.12263609054574,4;0;0;0
12,burst,10.311486325237901,111.43165094124899,7.606894919009775,99.71342783858869,1;3;0;0,7.696596433842567,98.81923252438831,0;4;0;0,7.696596433842567,98.81923252438831,0;4;0;0
13,burst,10.097658467940363,121.52930940918935,8.41886125491482,108.1322890935035,2;0;2;0,10.097658467940363,108.91689099232867,4;0;0;0,10.097658467940363,108.91689099232867,4;0;0;0
14,burst,10.579745774312068,132.10905518350143,8.256499151999154,116.38878824550265,2;0;2;0,10.579745774312068,119.49663676664075,4;0;0;0,10.579745774312068,119.49663676664075,4;0;0;0
15,burst,11.325566440336408,143.43462162383784,7.7401430227741095,124.12893126827676,2;2;0;0,11.325566440336408,130.82220320697715,4;0;0;0,11.325566440336408,130.82220320697715,4;0;0;0
16,burst,10.427207682287163,153.861829306125,9.19115977599188,133.32009104426865,3;1;0;0,10.427207682287163,141.2494108892643,4;0;0;0,10.427207682287163,141.2494108892643,4;0;0;0
17,burst,11.396407380319838,165.25823668644483,8.447763500586436,141.76785454485508,2;2;0;0,11.396407380319838,152.64581826958414,4;0;0;0,11.396407380319838,152.64581826958414,4;0;0;0
18,burst,11.263720230906031,176.52195691735085,9.078692014638332,150.84654655949342,3;0;1;0,11.263720230906031,163.90953850049016,4;0;0;0,11.263720230906031,163.90953850049016,4;0;0;0
19,burst,11.138544143599972,187.66050106095082,9.176452500573845,160.02299906006726,3;0;1;0,11.138544143599972,175.04808264409013,4;0;0;0,11.138544143599972,175.04808264409013,4;0;0;0
20,synchronized,7.557314201857995,195.2178152628088,7.557314201857995,167.58031326192526,2;2;0;0,7.465769493884294,182.51385213797442,4;0;0;0,7.465769493884294,182.51385213797442,4;0;0;0
21,synchronized,7.638571901184248,202.85638716399305,7.638571901184248,175.2188851631095,2;2;0;0,7.638571901184248,190.15242403915866,2;2;0;0,7.638571901184248,190.15242403915866,2;2;0;0
22,synchronized,7.408747306439517,210.26513447043257,7.408747306439517,182.627632469549,2;2;0;0,7.408747306439517,197.56117134559818,2;2;0;0,7.408747306439517,197.56117134559818,2;2;0;0
23,synchronized,7.474008839506853,217.73914330993944,7.474008839506853,190.10164130905588,2;2;0;0,7.474008839506853,205.03518018510505,2;2;0;0,7.474008839506853,205.03518018510505,2;2;0;0
24,synchronized,7.472528751856976,225.2116720617964,7.472528751856976,197.57417006091285,2;2;0;0,7.472528751856976,212.50770893696202,2;2;0;0,7.472528751856976,212.50770893696202,2;2;0;0
25,synchronized,7.4794803529571,232.6911524147535,7.4794803529571,205.05365041386995,2;2;0;0,7.4794803529571,219.98718928991912,2;2;0;0,7.4794803529571,219.98718928991912,2;2;0;0
26,synchronized,7.556911698726631,240.24806411348013,7.556911698726631,212.61056211259657,2;2;0;0,7.556911698726631,227.54410098864574,2;2;0;0,7.556911698726631,227.54410098864574,2;2;0;0
27,synchronized,7.60961437010936,247.8576784835895,7.60961437010936,220.22017648270594,2;2;0;0,7.60961437010936,235.1537153587551,2;2;0;0,7.60961437010936,235.1537153587551,2;2;0;0
28,synchronized,7.581210440975903,255.4388889245654,7.581210440975903,227.80138692368183,2;2;0;0,7.581210440975903,242.734925799731,2;2;0;0,7.581210440975903,242.734925799731,2;2;0;0
29,synchronized,7.614308477940433,263.0531974025058,7.614308477940433,235.41569540162226,2;2;0;0,7.614308477940433,250.34923427767143,2;2;0;0,7.614308477940433,250.34923427767143,2;2;0;0
30,recovery,4.287050461997088,267.3402478645029,3.7256780018237476,239.141373403446,2;2;0;0,3.7256780018237476,254.07491227949518,2;2;0;0,3.7256780018237476,254.07491227949518,2;2;0;0
31,recovery,3.8415614058094647,271.1818092703123,3.460849053441951,242.60222245688797,4;0;0;0,3.460849053441951,257.5357613329371,4;0;0;0,3.460849053441951,257.5357613329371,4;0;0;0
32,recovery,3.800046825580568,274.9818560958929,3.769403830447725,246.3716262873357,2;2;0;0,3.769403830447725,261.30516516338486,2;2;0;0,3.769403830447725,261.30516516338486,2;2;0;0
33,recovery,4.080983417696225,279.06283951358915,3.925139811793088,250.29676609912877,3;0;1;0,3.925139811793088,265.23030497517794,3;0;1;0,3.925139811793088,265.23030497517794,3;0;1;0
34,recovery,3.946663151613502,283.00950266520266,3.3509679915067827,253.64773409063557,4;0;0;0,3.3509679915067827,268.5812729666847,4;0;0;0,3.3509679915067827,268.5812729666847,4;0;0;0
35,recovery,4.52155192783542,287.5310545930381,4.355564361239274,258.00329845187485,1;3;0;0,4.355564361239274,272.93683732792397,1;3;0;0,4.355564361239274,272.93683732792397,1;3;0;0
36,recovery,3.7714025188139924,291.3024571118521,3.302583947198211,261.3058823990731,2;2;0;0,3.302583947198211,276.2394212751222,2;2;0;0,3.302583947198211,276.2394212751222,2;2;0;0
37,recovery,4.147191566616027,295.4496486784681,4.133098101548116,265.4389805006212,3;0;1;0,4.07052333078481,280.309944605907,4;0;0;0,4.07052333078481,280.309944605907,4;0;0;0
38,recovery,4.375544550033046,299.8251932285012,3.850951113741874,269.28993161436307,2;0;2;0,3.850951113741874,284.16089571964886,2;0;2;0,3.850951113741874,284.16089571964886,2;0;2;0
39,recovery,3.73315023939492,303.5583434678961,3.672103997255217,272.96203561161826,3;1;0;0,3.664040271178019,287.8249359908269,4;0;0;0,3.664040271178019,287.8249359908269,4;0;0;0
