window,phase,oracle_utility,oracle_cumulative,ucp_utility,ucp_cumulative,ucp_allocation,ucp_gg1_utility,ucp_gg1_cumulative,ucp_gg1_allocation,ucp_gg1_feedback_utility,ucp_gg1_feedback_cumulative,ucp_gg1_feedback_allocation
0,steady,4.476749828680636,4.476749828680636,3.1264330093736095,3.1264330093736095,1;1;1;1,3.1264330093736095,3.1264330093736095,1;1;1;1,3.1264330093736095,3.1264330093736095,1;1;1;1
1,steady,6.372109288282734,10.84885911696337,5.400356069292234,8.526789078665843,2;2;0;0,5.400356069292234,8.526789078665843,2;2;0;0,5.400356069292234,8.526789078665843,2;2;0;0
2,steady,5.367915814770711,16.21677493173408,5.302231104665877,13.82902018333172,4;0;0;0,5.302231104665877,13.82902018333172,4;0;0;0,5.302231104665877,13.82902018333172,4;0;0;0
3,steady,5.015787276960499,21.232562208694578,5.015787276960499,18.84480746029222,2;0;2;0,5.015787276960499,18.84480746029222,2;0;2;0,5.015787276960499,18.84480746029222,2;0;2;0
4,steady,5.731333325140577,26.963895533835156,5.622059480359537,24.466866940651755,2;0;2;0,5.622059480359537,24.466866940651755,2;0;2;0,5.622059480359537,24.466866940651755,2;0;2;0
5,steady,5.674426977643736,32.63832251147889,5.392386323698607,29.85925326435036,3;0;1;0,5.315967036871254,29.78283397752301,4;0;0;0,5.315967036871254,29.78283397752301,4;0;0;0
6,steady,4.511907620931056,37.150230132409945,4.159156129403207,34.018409393753565,2;2;0;0,4.159156129403207,33.94199010692621,2;2;0;0,4.159156129403207,33.94199010692621,2;2;0;0
7,steady,5.5686620385430725,42.71889217095302,4.940824995096369,38.959234388849936,2;0;2;0,4.940824995096369,38.88281510202258,2;0;2;0,4.940824995096369,38.88281510202258,2;0;2;0
8,steady,5.529104878760938,48.24799704971396,4.348702228780449,43.30793661763038,2;2;0;0,4.348702228780449,43.23151733080303,2;2;0;0,4.348702228780449,43.23151733080303,2;2;0;0
9,steady,5.832000209333121,54.07999725904708,5.806645136334931,49.11458175396531,3;0;1;0,5.832000209333121,49.063517540136154,4;0;0;0,5.832000209333121,49.063517540136154,4;0;0;0
10,burst,5.354958396838564,59.434955655885645,3.549190223084708,52.66377197705002,3;0;1;0,5.354958396838564,54.418475936974716,4;0;0;0,5.354958396838564,54.418475936974716,4;0;0;0
11,burst,5.768499261314893,65.20345491720053,2.04445468925264,54.70822666630266,2;2;0;0,2.04445468925264,56.462930626227354,2;2;0;0,5.768499261314893,60.18697519828961,4;0;0;0
12,burst,5.935764114170248,71.13921903137079,3.2782643951526858,57.98649106145534,3;1;0;0,5.935764114170248,62.3986947403976,4;0;0;0,5.935764114170248,66.12273931245986,4;0;0;0
13,burst,5.780498846698028,76.91971787806881,5.780498846698028,63.76698990815337,4;0;0;0,5.780498846698028,68.17919358709563,4;0;0;0,5.780498846698028,71.90323815915788,4;0;0;0
14,burst,5.938767736083173,82.85848561415199,2.7081013247969716,66.47509123295035,3;1;0;0,5.938767736083173,74.1179613231788,4;0;0;0,5.938767736083173,77.84200589524106,4;0;0;0
15,burst,5.209549389014178,88.06803500316616,2.6313259137785443,69.10641714672889,3;1;0;0,4.932340174824755,79.05030149800356,4;0;0;0,4.932340174824755,82.77434607006582,4;0;0;0
16,burst,6.382714615347888,94.45074961851405,3.5472264561640046,72.65364360289288,2;0;2;0,3.5472264561640046,82.59752795416756,2;0;2;0,3.781727465482234,86.55607353554805,0;0;4;0
17,burst,5.311131822855538,99.7618814413696,2.9537661421012187,75.6074097449941,3;1;0;0,4.991435563410437,87.588963517578,4;0;0;0,4.991435563410437,91.54750909895849,4;0;0;0
18,burst,5.587615063732108,105.3494965051017,2.2143875008968017,77.8217972458909,1;3;0;0,4.229964166879261,91.81892768445725,0;4;0;0,4.229964166879261,95.77747326583774,0;4;0;0
19,burst,5.114360117508203,110.4638566226099,1.8308108223082886,79.6526080681992,3;0;1;0,5.114360117508203,96.93328780196545,4;0;0;0,5.114360117508203,100.89183338334594,4;0;0;0
20,synchronized,5.15990080943127,115.62375743204116,4.906809900340363,84.55941796853956,3;0;1;0,5.110071299030537,102.04335910099599,4;0;0;0,5.110071299030537,106.00190468237648,4;0;0;0
21,synchronized,5.22491080325139,120.84866823529255,5.22491080325139,89.78432877179095,2;0;2;0,5.22491080325139,107.26826990424738,2;0;2;0,5.22491080325139,111.22681548562787,2;0;2;0
22,synchronized,5.138373690503634,125.98704192579618,5.138373690503634,94.92270246229458,2;0;2;0,5.138373690503634,112.40664359475102,2;0;2;0,5.138373690503634,116.36518917613151,2;0;2;0
23,synchronized,5.0021648600392945,130.98920678583548,5.0021648600392945,99.92486732233388,2;0;2;0,5.0021648600392945,117.40880845479032,2;0;2;0,5.0021648600392945,121.36735403617081,2;0;2;0
