window,phase,oracle_utility,oracle_cumulative,ucp_utility,ucp_cumulative,ucp_allocation,ucp_beta,ucp_gg1_utility,ucp_gg1_cumulative,ucp_gg1_allocation,ucp_gg1_beta,ucp_gg1_feedback_utility,ucp_gg1_feedback_cumulative,ucp_gg1_feedback_allocation,ucp_gg1_feedback_beta
0,steady,6.911408743461688,6.911408743461688,4.793908386510043,4.793908386510043,1;1;1;1,1.0,4.793908386510043,4.793908386510043,1;1;1;1,1.0,4.793908386510043,4.793908386510043,1;1;1;1,1.0
1,steady,7.668767390831904,14.580176134293591,6.864754121113076,11.658662507623118,2;0;2;0,1.0,6.864754121113076,11.658662507623118,2;0;2;0,1.0,6.864754121113076,11.658662507623118,2;0;2;0,1.0
2,steady,7.609694835081375,22.189870969374965,7.135823300882682,18.7944858085058,3;1;0;0,1.0,7.032045168339394,18.690707675962514,4;0;0;0,1.0,7.032045168339394,18.690707675962514,4;0;0;0,1.107423473607743
3,steady,8.253881591659658,30.44375256103462,7.7861303303005425,26.58061613880634,2;0;2;0,1.0,7.7861303303005425,26.47683800626306,2;0;2;0,1.0,7.7861303303005425,26.47683800626306,2;0;2;0,1.0871627832815363
4,steady,6.556237854395515,36.99999041543013,6.022782146926898,32.60339828573324,2;2;0;0,1.0,6.022782146926898,32.49962015318996,2;2;0;0,1.0,6.022782146926898,32.49962015318996,2;2;0;0,1.0746621547643445
5,steady,8.61504197285949,45.61503238828962,7.892029167240154,40.495427452973395,2;0;2;0,1.0,7.892029167240154,40.39164932043011,2;0;2;0,1.0,7.892029167240154,40.39164932043011,2;0;2;0,1.0559966160732583
6,steady,7.539559705352684,53.15459209364231,7.277671093143225,47.77309854611662,3;0;1;0,1.0,7.392493762212646,47.78414308264276,4;0;0;0,1.0,7.392493762212646,47.78414308264276,4;0;0;0,1.0419974620549437
7,steady,7.149887601276566,60.304479694918875,7.149887601276566,54.92298614739319,2;2;0;0,1.0,7.149887601276566,54.934030683919325,2;2;0;0,1.0,7.149887601276566,54.934030683919325,2;2;0;0,1.0314980965412077
8,contention,6.717950004749147,67.02242969966802,4.825059487069199,59.748045634462386,2;2;0;0,1.0,4.825059487069199,59.75909017098852,2;2;0;0,1.0,4.825059487069199,59.75909017098852,2;2;0;0,1.7736235724059057
9,contention,6.364892695492642,73.38732239516067,4.3773134915407415,64.12535912600313,2;2;0;0,1.0,4.3773134915407415,64.13640366252926,2;2;0;0,1.0,6.022683103006508,65.78177327399503,4;0;0;0,2.3302176793044294
10,contention,6.927129699976678,80.31445209513734,4.06442962152251,68.18978874752564,2;2;0;0,1.0,4.06442962152251,68.20083328405177,2;2;0;0,1.0,4.06442962152251,69.84620289551754,2;2;0;0,2.747663259478322
11,contention,6.643371485527389,86.95782358066472,2.5677856604614897,70.75757440798714,2;2;0;0,1.0,2.5677856604614897,70.76861894451326,2;2;0;0,1.0,2.5677856604614897,72.41398855597903,2;2;0;0,3.0607474446087415
12,contention,6.910719695681261,93.86854327634599,5.555390997823031,76.31296540581016,2;2;0;0,1.0,5.555390997823031,76.32400994233629,2;2;0;0,1.0,5.555390997823031,77.96937955380206,2;2;0;0,3.295560583456556
13,contention,6.5228486157033,100.39139189204928,4.281766677485445,80.59473208329561,3;1;0;0,1.0,6.469961735752677,82.79397167808897,4;0;0;0,1.0,6.469961735752677,84.43934128955473,4;0;0;0,3.471670437592417
14,contention,7.0509652976216115,107.4423571896709,5.423891978866658,86.01862406216227,2;2;0;0,1.0,5.423891978866658,88.21786365695563,2;2;0;0,1.0,7.0509652976216115,91.49030658717635,4;0;0;0,3.6037528281943128
