OpenROAD 26Q3-463-gbde79242a0 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 16 thread(s).
source /OpenROAD-flow-scripts/flow/platforms/asap7/liberty_suppressions.tcl
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_AO_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_INVBUF_RVT_FF_nldm_220122.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_OA_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SIMPLE_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SEQ_RVT_FF_nldm_220123.lib
read_db /work/util/uacc_hw/openroad/work_precision_sweep/results/asap7/uacc_section14_allocator_precision_sweep/base/3_3_place_gp.odb
read_sdc /work/util/uacc_hw/openroad/work_precision_sweep/results/asap7/uacc_section14_allocator_precision_sweep/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/asap7/setRC.tcl
estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    126800
     1000 |     +0.0% |       0 |       0 |             0 |    125800
     2000 |     +0.0% |       0 |       0 |             0 |    124800
     3000 |     +0.0% |       0 |       0 |             0 |    123800
     4000 |     +0.0% |       0 |       0 |             0 |    122800
     5000 |     +0.0% |       0 |       0 |             0 |    121800
     6000 |     +0.0% |       0 |       0 |             0 |    120800
     7000 |     +0.0% |       0 |       0 |             0 |    119800
     8000 |     +0.0% |       0 |       0 |             0 |    118800
     9000 |     +0.0% |       0 |       0 |             0 |    117800
    10000 |     +0.0% |       0 |       0 |             0 |    116800
    11000 |     +0.0% |       0 |       0 |             0 |    115800
    12000 |     +0.0% |       0 |       0 |             0 |    114800
    13000 |     +0.0% |       0 |       0 |             0 |    113800
    14000 |     +0.0% |       0 |       0 |             0 |    112800
    15000 |     +0.0% |       0 |       0 |             0 |    111800
    16000 |     +0.0% |       0 |       0 |             0 |    110800
    17000 |     +0.0% |       0 |       0 |             0 |    109800
    18000 |     +0.0% |       0 |       0 |             0 |    108800
    19000 |     +0.0% |       0 |       0 |             0 |    107800
    20000 |     +0.0% |       0 |       0 |             0 |    106800
    21000 |     +0.0% |       0 |       0 |             0 |    105800
    22000 |     +0.0% |       0 |       0 |             0 |    104800
    23000 |     +0.0% |       0 |       0 |             0 |    103800
    24000 |     +0.0% |       0 |       0 |             0 |    102800
    25000 |     +0.0% |       0 |       0 |             0 |    101800
    26000 |     +0.0% |       0 |       0 |             0 |    100800
    27000 |     +0.0% |       0 |       0 |             0 |     99800
    28000 |     +0.0% |       0 |       0 |             0 |     98800
    29000 |     +0.0% |       0 |       0 |             0 |     97800
    30000 |     +0.0% |       0 |       0 |             0 |     96800
    31000 |     +0.0% |       0 |       0 |             0 |     95800
    32000 |     +0.0% |       0 |       0 |             0 |     94800
    33000 |     +0.0% |       0 |       0 |             0 |     93800
    34000 |     +0.0% |       0 |       0 |             0 |     92800
    35000 |     +0.0% |       0 |       0 |             0 |     91800
    36000 |     +0.0% |       0 |       1 |             1 |     90800
    37000 |     +0.0% |       0 |       1 |             1 |     89800
    38000 |     +0.0% |       0 |       1 |             1 |     88800
    39000 |     +0.0% |       0 |       1 |             1 |     87800
    40000 |     +0.0% |       0 |       1 |             1 |     86800
    41000 |     +0.0% |       0 |       1 |             1 |     85800
    42000 |     +0.0% |       0 |       1 |             1 |     84800
    43000 |     +0.0% |       0 |       1 |             1 |     83800
    44000 |     +0.0% |       0 |       2 |             2 |     82800
    45000 |     +0.0% |       0 |       2 |             2 |     81800
    46000 |     +0.0% |       0 |       2 |             2 |     80800
    47000 |     +0.0% |       0 |       2 |             2 |     79800
    48000 |     +0.0% |       0 |       2 |             2 |     78800
    49000 |     +0.0% |       0 |       2 |             2 |     77800
    50000 |     +0.0% |       0 |       2 |             2 |     76800
    51000 |     +0.0% |       0 |       2 |             2 |     75800
    52000 |     +0.0% |       0 |       2 |             2 |     74800
    53000 |     +0.0% |       0 |       2 |             2 |     73800
    54000 |     +0.0% |       0 |       2 |             2 |     72800
    55000 |     +0.0% |       0 |       2 |             2 |     71800
    56000 |     +0.0% |       0 |       2 |             2 |     70800
    57000 |     +0.0% |       0 |       2 |             2 |     69800
    58000 |     +0.0% |       0 |       2 |             2 |     68800
    59000 |     +0.0% |       0 |       2 |             2 |     67800
    60000 |     +0.0% |       0 |       2 |             2 |     66800
    61000 |     +0.0% |       0 |       2 |             2 |     65800
    62000 |     +0.0% |       0 |       2 |             2 |     64800
    63000 |     +0.0% |       0 |       2 |             2 |     63800
    64000 |     +0.0% |       0 |       2 |             2 |     62800
    65000 |     +0.0% |       0 |       2 |             2 |     61800
    66000 |     +0.0% |       0 |       2 |             2 |     60800
    67000 |     +0.0% |       0 |       2 |             2 |     59800
    68000 |     +0.0% |       0 |       2 |             2 |     58800
    69000 |     +0.0% |       0 |       2 |             2 |     57800
    70000 |     +0.0% |       0 |       2 |             2 |     56800
    71000 |     +0.0% |       0 |       2 |             2 |     55800
    72000 |     +0.0% |       0 |       2 |             2 |     54800
    73000 |     +0.0% |       0 |       2 |             2 |     53800
    74000 |     +0.0% |       0 |       2 |             2 |     52800
    75000 |     +0.0% |       0 |       2 |             2 |     51800
    76000 |     +0.0% |       0 |       2 |             2 |     50800
    77000 |     +0.0% |       0 |       2 |             2 |     49800
    78000 |     +0.0% |       0 |       2 |             2 |     48800
    79000 |     +0.0% |       0 |       2 |             2 |     47800
    80000 |     +0.0% |       0 |       2 |             2 |     46800
    81000 |     +0.0% |       0 |       2 |             2 |     45800
    82000 |     +0.0% |       0 |       2 |             2 |     44800
    83000 |     +0.0% |       0 |       2 |             2 |     43800
    84000 |     +0.0% |       0 |       2 |             2 |     42800
    85000 |     +0.0% |       0 |       2 |             2 |     41800
    86000 |     +0.0% |       0 |       2 |             2 |     40800
    87000 |     +0.0% |       0 |       4 |             3 |     39800
    88000 |     +0.0% |       0 |       4 |             3 |     38800
    89000 |     +0.0% |       0 |       4 |             3 |     37800
    90000 |     +0.0% |       0 |       4 |             3 |     36800
    91000 |     +0.0% |       0 |       4 |             3 |     35800
    92000 |     +0.0% |       0 |       4 |             3 |     34800
    93000 |     +0.0% |       0 |       5 |             4 |     33800
    94000 |     +0.0% |       0 |       5 |             4 |     32800
    95000 |     +0.0% |       0 |       5 |             4 |     31800
    96000 |     +0.0% |       0 |       6 |             5 |     30800
    97000 |     +0.0% |       0 |       6 |             5 |     29800
    98000 |     +0.0% |       0 |       6 |             5 |     28800
    99000 |     +0.0% |       0 |       6 |             5 |     27800
   100000 |     +0.0% |       0 |       6 |             5 |     26800
   101000 |     +0.0% |       0 |       6 |             5 |     25800
   102000 |     +0.0% |       0 |       6 |             5 |     24800
   103000 |     +0.0% |       0 |       6 |             5 |     23800
   104000 |     +0.0% |       0 |       6 |             5 |     22800
   105000 |     +0.0% |       0 |       6 |             5 |     21800
   106000 |     +0.0% |       0 |       6 |             5 |     20800
   107000 |     +0.0% |       0 |       6 |             5 |     19800
   108000 |     +0.0% |       0 |       6 |             5 |     18800
   109000 |     +0.0% |       0 |       6 |             5 |     17800
   110000 |     +0.0% |       0 |       6 |             5 |     16800
   111000 |     +0.0% |       0 |       6 |             5 |     15800
   112000 |     +0.0% |       0 |       6 |             5 |     14800
   113000 |     +0.0% |       0 |       6 |             5 |     13800
   114000 |     +0.0% |       0 |       6 |             5 |     12800
   115000 |     +0.0% |       0 |       6 |             5 |     11800
   116000 |     +0.0% |       0 |       6 |             5 |     10800
   117000 |     +0.0% |       0 |       6 |             5 |      9800
   118000 |     +0.0% |       0 |       6 |             5 |      8800
   119000 |     +0.0% |       0 |       6 |             5 |      7800
   120000 |     +0.0% |       0 |       6 |             5 |      6800
   121000 |     +0.0% |       0 |       6 |             5 |      5800
   122000 |     +0.0% |       0 |       6 |             5 |      4800
   123000 |     +0.0% |       0 |       6 |             5 |      3800
   124000 |     +0.0% |       0 |       6 |             5 |      2800
   125000 |     +0.0% |       0 |       6 |             5 |      1800
   126000 |     +0.0% |       0 |       6 |             5 |       800
    final |     +0.0% |       0 |       6 |             5 |         0
---------------------------------------------------------------------
[INFO RSZ-0034] Found 5 slew violations.
[INFO RSZ-0038] Inserted 6 buffers in 5 nets.
[INFO RSZ-0504] Runtime: 16.07s
Took 17 seconds: repair_design -verbose
Floating nets: 
Report metrics stage 3, resizer...

==========================================================================
resizer report_design_area
--------------------------------------------------------------------------
Design area 17773 um^2 24% utilization.
Instance count before 132971, after 132977
Pin count before 431345, after 431357
write_db /work/util/uacc_hw/openroad/work_precision_sweep/results/asap7/uacc_section14_allocator_precision_sweep/base/3_4_place_resized.odb
Elapsed time: 0:51.87[h:]min:sec. CPU time: user 91.74 sys 36.36 (246%). Peak memory: 933780KB.
Log                       Ext     Elapsed/s Peak Memory/MB sha1sum result [0:20)
3_4_place_resized         .odb           51            911 017cd5cb3539844a11f6
