OpenROAD 26Q3-463-gbde79242a0 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 16 thread(s).
source /OpenROAD-flow-scripts/flow/platforms/asap7/liberty_suppressions.tcl
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_AO_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_INVBUF_RVT_FF_nldm_220122.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_OA_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SIMPLE_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SEQ_RVT_FF_nldm_220123.lib
read_db /work/util/uacc_hw/openroad/work_full/results/asap7/uacc_section14_allocator/base/3_3_place_gp.odb
read_sdc /work/util/uacc_hw/openroad/work_full/results/asap7/uacc_section14_allocator/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/asap7/setRC.tcl
estimate_parasitics -placement
Took 10 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    502432
     1000 |     +0.0% |       0 |       0 |             0 |    501432
     2000 |     +0.0% |       0 |       0 |             0 |    500432
     3000 |     +0.0% |       0 |       0 |             0 |    499432
     4000 |     +0.0% |       0 |       0 |             0 |    498432
     5000 |     +0.0% |       0 |       0 |             0 |    497432
     6000 |     +0.0% |       0 |       0 |             0 |    496432
     7000 |     +0.0% |       0 |       0 |             0 |    495432
     8000 |     +0.0% |       0 |       0 |             0 |    494432
     9000 |     +0.0% |       0 |       0 |             0 |    493432
    10000 |     +0.0% |       0 |       1 |             1 |    492432
    11000 |     +0.0% |       0 |       1 |             1 |    491432
    12000 |     +0.0% |       0 |       1 |             1 |    490432
    13000 |     +0.0% |       0 |       1 |             1 |    489432
    14000 |     +0.0% |       0 |       1 |             1 |    488432
    15000 |     +0.0% |       0 |       1 |             1 |    487432
    16000 |     +0.0% |       0 |       1 |             1 |    486432
    17000 |     +0.0% |       0 |       1 |             1 |    485432
    18000 |     +0.0% |       0 |       1 |             1 |    484432
    19000 |     +0.0% |       0 |       2 |             2 |    483432
    20000 |     +0.0% |       0 |       2 |             2 |    482432
    21000 |     +0.0% |       0 |       2 |             2 |    481432
    22000 |     +0.0% |       0 |       2 |             2 |    480432
    23000 |     +0.0% |       0 |       2 |             2 |    479432
    24000 |     +0.0% |       0 |       2 |             2 |    478432
    25000 |     +0.0% |       0 |       2 |             2 |    477432
    26000 |     +0.0% |       0 |       2 |             2 |    476432
    27000 |     +0.0% |       0 |       2 |             2 |    475432
    28000 |     +0.0% |       0 |       2 |             2 |    474432
    29000 |     +0.0% |       0 |       3 |             3 |    473432
    30000 |     +0.0% |       0 |       4 |             4 |    472432
    31000 |     +0.0% |       0 |       4 |             4 |    471432
    32000 |     +0.0% |       0 |       4 |             4 |    470432
    33000 |     +0.0% |       0 |       4 |             4 |    469432
    34000 |     +0.0% |       0 |       4 |             4 |    468432
    35000 |     +0.0% |       0 |       4 |             4 |    467432
    36000 |     +0.0% |       0 |       4 |             4 |    466432
    37000 |     +0.0% |       0 |       4 |             4 |    465432
    38000 |     +0.0% |       0 |       4 |             4 |    464432
    39000 |     +0.0% |       0 |       4 |             4 |    463432
    40000 |     +0.0% |       0 |       5 |             5 |    462432
    41000 |     +0.0% |       0 |       5 |             5 |    461432
    42000 |     +0.0% |       0 |       5 |             5 |    460432
    43000 |     +0.0% |       0 |       5 |             5 |    459432
    44000 |     +0.0% |       0 |       5 |             5 |    458432
