OpenROAD 26Q3-463-gbde79242a0 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 16 thread(s).
source /OpenROAD-flow-scripts/flow/platforms/asap7/liberty_suppressions.tcl
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_AO_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_INVBUF_RVT_FF_nldm_220122.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_OA_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SIMPLE_RVT_FF_nldm_211120.lib.gz
read_liberty /OpenROAD-flow-scripts/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SEQ_RVT_FF_nldm_220123.lib
read_db /work/util/uacc_hw/openroad/work_width_sweep/results/asap7/uacc_section14_allocator_width_sweep/base/3_3_place_gp.odb
read_sdc /work/util/uacc_hw/openroad/work_width_sweep/results/asap7/uacc_section14_allocator_width_sweep/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/asap7/setRC.tcl
estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    127400
     1000 |     +0.0% |       0 |       0 |             0 |    126400
     2000 |     +0.0% |       0 |       0 |             0 |    125400
     3000 |     +0.0% |       0 |       0 |             0 |    124400
     4000 |     +0.0% |       0 |       0 |             0 |    123400
     5000 |     +0.0% |       0 |       0 |             0 |    122400
     6000 |     +0.0% |       0 |       0 |             0 |    121400
     7000 |     +0.0% |       0 |       0 |             0 |    120400
     8000 |     +0.0% |       0 |       0 |             0 |    119400
     9000 |     +0.0% |       0 |       0 |             0 |    118400
    10000 |     +0.0% |       0 |       0 |             0 |    117400
    11000 |     +0.0% |       0 |       0 |             0 |    116400
    12000 |     +0.0% |       0 |       0 |             0 |    115400
    13000 |     +0.0% |       0 |       0 |             0 |    114400
    14000 |     +0.0% |       0 |       0 |             0 |    113400
    15000 |     +0.0% |       0 |       0 |             0 |    112400
    16000 |     +0.0% |       0 |       0 |             0 |    111400
    17000 |     +0.0% |       0 |       0 |             0 |    110400
    18000 |     +0.0% |       0 |       0 |             0 |    109400
    19000 |     +0.0% |       0 |       0 |             0 |    108400
    20000 |     +0.0% |       0 |       0 |             0 |    107400
    21000 |     +0.0% |       0 |       0 |             0 |    106400
    22000 |     +0.0% |       0 |       0 |             0 |    105400
    23000 |     +0.0% |       0 |       0 |             0 |    104400
    24000 |     +0.0% |       0 |       0 |             0 |    103400
    25000 |     +0.0% |       0 |       0 |             0 |    102400
    26000 |     +0.0% |       0 |       0 |             0 |    101400
    27000 |     +0.0% |       0 |       0 |             0 |    100400
